planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
HIP 67522 c,HIP 67522,Transit,2024.0,14.334892,7.93595834,48.3,917.0,127.28,1,2
HIP 67537 b,HIP 67537,Radial Velocity,2017.0,2523.64713,12.3,4309.11754211,323.2,116.046,1,1
HIP 67851 b,HIP 67851,Radial Velocity,2015.0,89.23,13.7,365.50266805,840.72,64.1181,1,2
HIP 67851 c,HIP 67851,Radial Velocity,2015.0,3128.41,12.7,2204.77565936,255.43,64.1181,1,2
HIP 70849 b,HIP 70849,Radial Velocity,2009.0,3649.0,12.9,1430.2278315,78.85,24.0572,2,1
HIP 71135 b,HIP 71135,Radial Velocity,2019.0,87.19,4.55,18.8,285.11,32.3311,1,1
HIP 74890 b,HIP 74890,Radial Velocity,2016.0,822.3,13.3,762.792,387.66,78.6562,1,1
HIP 75092 b,HIP 75092,Radial Velocity,2021.0,926.4,13.5,568.91284853,353.19,81.6696,1,1
HIP 77900 b,HIP 77900,Imaging,2024.0,10.671380845,12.1,6674.396547,2507.0,150.862,1,1
HIP 78530 b,HIP 78530,Imaging,2010.0,10.671380845,12.0,7300.0,2700.0,136.759,1,1
HIP 79098 AB b,HIP 79098 AB,Imaging,2019.0,10.671380845,12.1,6515.515,2450.0,145.798,2,1
HIP 79431 b,HIP 79431,Radial Velocity,2009.0,111.7,13.4,667.415,177.42,14.5324,1,1
HIP 81208 C b,HIP 81208 C,Imaging,2023.0,104100.0,12.3,4703.8604236,2050.0,147.533,3,1
HIP 8152 b,HIP 8152,Transit,2023.0,10.751014,2.53625843,8.9,794.96,101.694,1,2
HIP 8152 c,HIP 8152,Transit,2023.0,19.60562,2.52442508,10.7,650.68,101.694,1,2
HIP 8541 b,HIP 8541,Radial Velocity,2016.0,1852.14387,12.6,2451.7283316,305.12,155.121,2,2
HIP 86221 b,HIP 86221,Radial Velocity,2021.0,2.224,14.0,225.65816897,757.0,29.4898,1,1
HIP 90988 b,HIP 90988,Radial Velocity,2021.0,455.73816,13.4,668.07531151,400.77,94.0349,1,1
HIP 91258 b,HIP 91258,Radial Velocity,2013.0,5.0505,13.7,346.4347,1024.97,45.8846,1,1
HIP 94235 b,HIP 94235,Transit,2022.0,7.713057,3.0,379.0,1060.0,58.5146,2,1
HIP 948 b,HIP 948,Radial Velocity,2022.0,24955.45756,12.1,6547.2651842,46.4,34.8523,1,1
HIP 9618 b,HIP 9618,Transit,2023.0,20.772858,3.82838127,8.3,640.88,67.5478,1,2
HIP 9618 c,HIP 9618,Transit,2023.0,52.56363,3.42855926,7.0,470.31,67.5478,1,2
HIP 97166 b,HIP 97166,Transit,2021.0,10.288914,2.4801338,19.1,701.66,65.9501,1,2
HIP 97166 c,HIP 97166,Radial Velocity,2021.0,16.432,2.75,8.0,642.0,65.9501,1,2
HIP 97233 b,HIP 97233,Radial Velocity,2014.0,1062.26506,12.1,6098.17364511,354.42,102.275,1,1
HIP 99770 b,HIP 99770,Imaging,2023.0,18600.0,12.2,5403.082919,135.17,40.0765,1,1
HN Lib b,HN Lib,Radial Velocity,2023.0,36.116,2.2,5.46,234.4,6.24442,1,1
HN Peg b,HN Peg,Imaging,2006.0,10.671380845,11.7768,6991.57,10.77,18.1186,1,1
HR 2562 b,HR 2562,Imaging,2016.0,10.671380845,12.44199,6992.224954,1255.0,34.0071,1,1
HR 5183 b,HR 5183,Radial Velocity,2019.0,27000.0,13.1,1052.01202717,171.0,31.4607,2,1
HR 810 b,HR 810,Radial Velocity,1999.0,302.79999,12.7,1970.5361234,329.57,17.3181,1,1
